Employee_ID,Age,Gender,Region,Industry,Job_Role,Years_of_Experience
EMP0001,32,Non-binary,Europe,Healthcare,HR,13
EMP0002,40,Female,Asia,IT,Data Scientist,3
EMP0003,59,Non-binary,North America,Education,Software Engineer,22
EMP0004,27,Male,Europe,Finance,Software Engineer,20
EMP0005,49,Male,North America,Consulting,Sales,32
EMP0006,59,Non-binary,South America,IT,Sales,31
EMP0007,31,Prefer not to say,Asia,IT,Sales,24
EMP0008,42,Non-binary,North America,Manufacturing,Data Scientist,6
EMP0009,56,Prefer not to say,Europe,Healthcare,Data Scientist,9
EMP0010,30,Female,North America,IT,HR,28
EMP0011,33,Non-binary,Oceania,Finance,Software Engineer,17
EMP0012,47,Female,Africa,Consulting,Marketing,31
EMP0013,40,Female,Europe,Consulting,Marketing,1
EMP0014,51,Non-binary,North America,Manufacturing,Designer,5
EMP0015,36,Prefer not to say,Oceania,Retail,Project Manager,23
EMP0016,56,Female,Africa,Healthcare,Sales,13
EMP0017,33,Prefer not to say,Africa,Education,HR,3
EMP0018,45,Non-binary,Europe,Consulting,Data Scientist,20
EMP0019,49,Non-binary,Oceania,IT,Software Engineer,30
EMP0020,59,Male,South America,Consulting,Software Engineer,13
EMP0021,26,Female,South America,Retail,Sales,33
EMP0022,26,Non-binary,North America,Education,Sales,21
EMP0023,43,Prefer not to say,Africa,Finance,Sales,21
EMP0024,53,Non-binary,Asia,Consulting,Marketing,11
EMP0025,56,Male,North America,Finance,Sales,6
EMP0026,49,Male,South America,Healthcare,Project Manager,23
EMP0027,36,Non-binary,North America,Retail,Project Manager,30
EMP0028,53,Female,Oceania,Retail,Project Manager,31
EMP0029,47,Prefer not to say,Europe,IT,Sales,22
EMP0030,59,Male,North America,Healthcare,Software Engineer,34
EMP0031,22,Female,Asia,IT,Data Scientist,22
EMP0032,37,Prefer not to say,North America,Manufacturing,Marketing,4
EMP0033,45,Prefer not to say,North America,Manufacturing,Project Manager,29
EMP0034,48,Male,North America,Healthcare,Software Engineer,27
EMP0035,36,Male,Europe,IT,Designer,24
EMP0036,46,Prefer not to say,Europe,Healthcare,Sales,28
EMP0037,48,Male,Asia,Finance,Sales,10
EMP0038,31,Female,Asia,Healthcare,Designer,18
EMP0039,24,Non-binary,Africa,IT,Sales,21
EMP0040,49,Male,Asia,Consulting,Marketing,20
EMP0041,30,Non-binary,Europe,IT,Data Scientist,22
EMP0042,53,Male,North America,IT,Project Manager,14
EMP0043,54,Prefer not to say,Europe,Finance,Project Manager,26
EMP0044,54,Female,Europe,Manufacturing,Designer,12
EMP0045,57,Prefer not to say,South America,Retail,HR,13
EMP0046,32,Male,North America,Retail,Marketing,24
EMP0047,33,Male,South America,Education,Data Scientist,33
EMP0048,30,Female,Oceania,Consulting,Sales,4
EMP0049,22,Female,Africa,Healthcare,HR,7
EMP0050,35,Male,Europe,Retail,Project Manager,11
EMP0051,26,Non-binary,Europe,Manufacturing,HR,34
EMP0052,47,Male,South America,Consulting,Sales,25
EMP0053,42,Female,South America,Retail,Software Engineer,3
EMP0054,60,Prefer not to say,Asia,Healthcare,Project Manager,34
EMP0055,26,Female,Asia,Education,Software Engineer,5
EMP0056,30,Non-binary,Africa,Education,Project Manager,8
EMP0057,42,Male,Asia,IT,Software Engineer,14
EMP0058,53,Prefer not to say,South America,IT,HR,7
EMP0059,26,Prefer not to say,Oceania,Manufacturing,Designer,31
EMP0060,26,Prefer not to say,Oceania,IT,Data Scientist,17
EMP0061,25,Non-binary,Europe,Consulting,Sales,4
EMP0062,33,Female,North America,IT,Sales,14
EMP0063,25,Non-binary,Asia,Finance,Project Manager,20
EMP0064,22,Female,South America,Healthcare,Software Engineer,5
EMP0065,60,Prefer not to say,Oceania,Healthcare,Data Scientist,18
EMP0066,56,Male,Europe,Finance,HR,9
EMP0067,45,Non-binary,Oceania,IT,Software Engineer,6
EMP0068,60,Female,Oceania,Education,Marketing,32
EMP0069,32,Female,South America,Manufacturing,Designer,23
EMP0070,25,Female,North America,Finance,Marketing,6
EMP0071,43,Prefer not to say,North America,Consulting,Marketing,23
EMP0072,50,Prefer not to say,Oceania,Consulting,Designer,25
EMP0073,28,Prefer not to say,Africa,Retail,Designer,15
EMP0074,23,Non-binary,Africa,IT,Software Engineer,29
EMP0075,38,Prefer not to say,Africa,Consulting,Project Manager,35
EMP0076,42,Male,Asia,Retail,Marketing,27
EMP0077,31,Non-binary,Europe,Consulting,HR,4
EMP0078,28,Female,South America,Healthcare,Marketing,25
EMP0079,29,Male,South America,Manufacturing,Data Scientist,15
