Employee_ID,Work_ID,Wellness_ID,Stress_Level,Work_Life_Balance_Rating,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work
EMP0001,1,1,Medium,2,Decrease,1,Unsatisfied
EMP0002,2,2,Medium,1,Increase,3,Satisfied
EMP0003,3,3,Medium,5,No Change,4,Unsatisfied
EMP0004,4,4,High,4,Increase,3,Unsatisfied
EMP0005,5,5,High,2,Decrease,3,Unsatisfied
EMP0006,6,6,High,4,Increase,5,Unsatisfied
EMP0007,7,7,Low,3,Decrease,5,Neutral
EMP0008,8,8,Medium,3,Decrease,5,Satisfied
EMP0009,9,9,High,2,Decrease,2,Unsatisfied
EMP0010,10,10,Low,1,Decrease,2,Neutral
EMP0011,11,5,High,3,Decrease,4,Satisfied
EMP0012,12,11,Medium,4,No Change,4,Neutral
EMP0013,13,12,High,2,Decrease,2,Neutral
EMP0014,14,13,Low,1,Decrease,2,Satisfied
EMP0015,15,14,High,3,Decrease,5,Neutral
EMP0016,16,15,Low,4,No Change,5,Satisfied
EMP0017,17,16,Medium,2,No Change,1,Satisfied
EMP0018,18,17,Low,3,Decrease,5,Neutral
EMP0019,19,2,High,1,No Change,3,Satisfied
EMP0020,20,18,Medium,3,Decrease,4,Neutral
EMP0021,21,19,Low,2,Increase,2,Satisfied
EMP0022,22,20,Medium,3,Decrease,3,Unsatisfied
EMP0023,23,21,Low,3,Increase,3,Satisfied
EMP0024,24,22,Low,5,No Change,2,Neutral
EMP0025,25,23,Low,3,Increase,2,Neutral
EMP0026,26,24,High,4,No Change,4,Neutral
EMP0027,27,25,High,3,Decrease,4,Unsatisfied
EMP0028,28,26,Low,4,No Change,4,Unsatisfied
EMP0029,29,27,High,3,Decrease,4,Satisfied
EMP0030,30,10,High,2,No Change,3,Satisfied
EMP0031,31,14,Low,1,No Change,5,Neutral
EMP0032,32,8,Medium,2,Decrease,3,Satisfied
EMP0033,33,28,Medium,2,Decrease,5,Satisfied
EMP0034,34,29,Medium,3,No Change,5,Neutral
EMP0035,35,30,Medium,4,No Change,1,Unsatisfied
EMP0036,36,31,Low,4,No Change,1,Neutral
EMP0037,37,4,Low,1,Decrease,5,Satisfied
EMP0038,38,32,Low,2,Increase,2,Satisfied
EMP0039,39,14,Low,4,No Change,3,Neutral
EMP0040,40,33,High,3,Increase,1,Unsatisfied
EMP0041,41,34,High,4,Decrease,1,Neutral
EMP0042,42,35,Low,2,No Change,1,Unsatisfied
EMP0043,43,11,High,3,Increase,3,Unsatisfied
EMP0044,44,36,Medium,4,No Change,1,Unsatisfied
EMP0045,45,28,High,3,No Change,5,Neutral
EMP0046,46,34,Medium,2,No Change,2,Neutral
EMP0047,47,17,Medium,1,Decrease,1,Unsatisfied
EMP0048,48,35,High,5,Decrease,1,Unsatisfied
EMP0049,49,37,Low,4,Increase,2,Neutral
EMP0050,50,38,Medium,4,No Change,1,Satisfied
EMP0051,51,28,High,4,Decrease,5,Satisfied
EMP0052,52,35,Low,5,Decrease,4,Satisfied
EMP0053,53,39,Medium,3,Decrease,2,Satisfied
EMP0054,54,36,Medium,2,No Change,1,Neutral
EMP0055,55,40,Medium,1,Decrease,4,Satisfied
EMP0056,56,41,Low,3,Increase,3,Neutral
EMP0057,57,42,Low,5,Increase,4,Neutral
EMP0058,58,6,Low,5,No Change,4,Satisfied
EMP0059,59,43,Low,1,Decrease,2,Unsatisfied
EMP0060,60,9,Medium,2,No Change,1,Satisfied
EMP0061,61,44,Medium,4,No Change,1,Unsatisfied
EMP0062,62,44,Medium,2,Increase,5,Unsatisfied
EMP0063,63,26,Medium,3,No Change,3,Satisfied
EMP0064,64,42,Medium,3,No Change,2,Satisfied
EMP0065,65,24,Medium,4,No Change,2,Unsatisfied
EMP0066,66,45,Medium,4,Increase,4,Satisfied
EMP0067,67,46,Medium,1,Increase,3,Satisfied
EMP0068,68,11,High,2,Decrease,3,Unsatisfied
EMP0069,69,29,High,2,Decrease,3,Neutral
EMP0070,70,39,Low,2,No Change,5,Neutral
EMP0071,71,15,Medium,4,Increase,4,Satisfied
EMP0072,72,47,Medium,1,No Change,2,Neutral
EMP0073,73,17,High,5,No Change,2,Unsatisfied
EMP0074,74,48,High,3,Decrease,1,Neutral
EMP0075,75,19,Medium,2,No Change,3,Neutral
EMP0076,76,49,High,5,No Change,4,Satisfied
EMP0077,77,1,High,4,No Change,1,Unsatisfied
EMP0078,78,29,Medium,5,No Change,1,Satisfied
EMP0079,79,50,High,2,Increase,2,Neutral
EMP0080,80,51,Low,5,No Change,4,Unsatisfied
EMP0081,81,52,High,3,Decrease,4,Satisfied
EMP0082,82,27,High,4,Increase,3,Neutral
EMP0083,83,12,High,3,Increase,5,Unsatisfied
EMP0084,84,53,High,4,Increase,5,Unsatisfied
EMP0085,85,54,Low,4,Decrease,2,Unsatisfied
EMP0086,86,34,Low,4,No Change,2,Unsatisfied
